re,co,cc,lo,me
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA NONATO COO LOCAL: 2,56M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA OSCAR BONILLA LOCAL: 1,104V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA REPUBLICA DE GRECIA LOCAL: 2,228M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA VILLA INDEPENDENCIA LOCAL: 1,208V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA VILLA INDEPENDENCIA LOCAL: 2,228V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA VILLA INDEPENDENCIA LOCAL: 2,230V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,ESCUELA VILLA PEDRO AGUIRRE CERDA,612
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,EXTREMADURA DE PUENTE ALTO LOCAL: 1,435
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO COMERCIAL DE PUENTE ALTO LOCAL: 1,142V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO INDUSTRIAL MUNICIPALIZADO A 116 LOCAL: 1,67M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO INDUSTRIAL MUNICIPALIZADO A 116 LOCAL: 1,71M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO INDUSTRIAL MUNICIPALIZADO A 116 LOCAL: 1,72M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO INDUSTRIAL MUNICIPALIZADO A 116 LOCAL: 2,100M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO NUESTRA SEÑORA DE LAS MERCEDES LOCAL: 1,285M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO NUESTRA SEÑORA DE LAS MERCEDES LOCAL: 2,295M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO PUENTE ALTO LOCAL: 1,111M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO PUENTE ALTO LOCAL: 2,123M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO PUENTE ALTO LOCAL: 2,125M
METROPOLITANA DE SANTIAGO,PUENTE ALTO,PUENTE ALTO,LICEO SAN GERONIMO LOCAL: 2,23V
METROPOLITANA DE SANTIAGO,PUENTE ALTO,SOTERO DEL RIO,LICEO INGENIERO MILITAR JUAN MACKENNA O'REILLY ,20
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,SAN JOSE DE MAIPO,ESCUELA JULIETA BECERRA ALVAREZ,2M
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,SAN JOSE DE MAIPO,ESCUELA JULIETA BECERRA ALVAREZ,20M
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,SAN JOSE DE MAIPO,LICEO POLIVALENTE SAN JOSE DE MAIPO,20V
METROPOLITANA DE SANTIAGO,BUIN,ALTO JAHUEL,LICEO ALTO JAHUEL LOCAL: 1,5
METROPOLITANA DE SANTIAGO,BUIN,BUIN,LICEO POLIVALENTE MODERNO CARDENAL CARO MEDIA LOCAL: 1,54V
METROPOLITANA DE SANTIAGO,BUIN,VALDIVIA DE PAINE,ESCUELA VALDIVIA DE PAINE,10
METROPOLITANA DE SANTIAGO,CALERA DE TANGO,CALERA DE TANGO,LICEO MUNICIPAL POETISA GABRIELA MISTRAL ENSEÑANZA BASICA LOCAL: 2,20V
METROPOLITANA DE SANTIAGO,PAINE,CHAMPA,LICEO POLIVALENTE GREGORIO MORALES MIRANDA,11M
METROPOLITANA DE SANTIAGO,PAINE,HUELQUEN,LICEO MARIA CARVAJAL FUENZALIDA,6
METROPOLITANA DE SANTIAGO,PAINE,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,6M
METROPOLITANA DE SANTIAGO,PAINE,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 1,17M
METROPOLITANA DE SANTIAGO,PAINE,PAINE,CENTRO EDUCACIONAL ENRIQUE BERNSTEIN CARABANTE LOCAL: 2,23M
METROPOLITANA DE SANTIAGO,PAINE,PAINE,COLEGIO PARTICULAR MARIA ANA MOGAS,85
