ts,circelec,idservel,mex,padron,vt1v,c1v
2021-11-26 16:48:54.045109,7660,2711,False,2724,1247,45.778
2021-11-26 16:48:54.045109,7660,2712,False,2796,1554,55.579
2021-11-26 16:48:54.045109,7660,2713,False,3443,1583,45.977
2021-11-26 16:48:54.045109,7699,825,False,3240,1245,38.426
2021-11-26 16:48:54.045109,7481,1397,False,1190,447,37.563
2021-11-26 16:48:54.045109,7611,1427,False,1453,763,52.512
2021-11-26 16:48:54.045109,7572,1505,False,456,211,46.272
2021-11-26 16:48:54.045109,7657,2536,False,3664,1610,43.941
2021-11-26 16:48:54.045109,7657,2537,False,4458,1590,35.666
2021-11-26 16:48:54.045109,7657,2538,False,7480,2836,37.914
2021-11-26 16:48:54.045109,7657,2539,False,5430,2235,41.16
2021-11-26 16:48:54.045109,7657,2540,False,5360,2001,37.332
2021-11-26 16:48:54.045109,7488,1484,False,435,214,49.195
2021-11-26 16:48:54.045109,7099,367,False,4715,2147,45.536
2021-11-26 16:48:54.045109,7099,368,False,4478,2741,61.21
2021-11-26 16:48:54.045109,7099,369,False,2870,1845,64.286
2021-11-26 16:48:54.045109,7099,370,False,4337,2086,48.098
2021-11-26 16:48:54.045109,7099,382,False,4040,2116,52.376
2021-11-26 16:48:54.045109,7099,371,False,4654,2220,47.701
2021-11-26 16:48:54.045109,7099,372,False,3776,2086,55.244
2021-11-26 16:48:54.045109,7099,373,False,4561,2157,47.292
2021-11-26 16:48:54.045109,7099,374,False,4637,2279,49.148
2021-11-26 16:48:54.045109,7099,375,False,4439,2052,46.227
2021-11-26 16:48:54.045109,7099,376,False,3130,1370,43.77
2021-11-26 16:48:54.045109,7099,377,False,4017,2423,60.319
2021-11-26 16:48:54.045109,7099,378,False,3071,1419,46.206
2021-11-26 16:48:54.045109,7099,379,False,4623,1816,39.282
2021-11-26 16:48:54.045109,7099,380,False,6293,3424,54.41
2021-11-26 16:48:54.045109,7099,383,False,3382,1247,36.872
2021-11-26 16:48:54.045109,7099,381,False,4509,2177,48.281
2021-11-26 16:48:54.045109,7054,222,False,2287,934,40.84
2021-11-26 16:48:54.045109,7594,1272,False,1403,785,55.952
2021-11-26 16:48:54.045109,7662,2541,False,4839,2391,49.411
2021-11-26 16:48:54.045109,7662,2542,False,6506,2874,44.175
2021-11-26 16:48:54.045109,7005,2699,False,909,517,56.876
2021-11-26 16:48:54.045109,7185,2054,False,7699,3711,48.201
2021-11-26 16:48:54.045109,7185,2073,False,6099,3200,52.468
2021-11-26 16:48:54.045109,7185,2055,False,6077,2890,47.556
2021-11-26 16:48:54.045109,7185,2056,False,6104,3100,50.786
2021-11-26 16:48:54.045109,7185,2060,False,8114,5246,64.654
2021-11-26 16:48:54.045109,7185,2071,False,6086,2621,43.066
2021-11-26 16:48:54.045109,7185,2062,False,7727,3772,48.816
2021-11-26 16:48:54.045109,7185,2063,False,7753,4312,55.617
2021-11-26 16:48:54.045109,7185,2074,False,6051,2789,46.092
2021-11-26 16:48:54.045109,7185,2064,False,6055,3149,52.007
2021-11-26 16:48:54.045109,7185,2065,False,6053,3013,49.777
2021-11-26 16:48:54.045109,7185,2066,False,7402,4379,59.16
2021-11-26 16:48:54.045109,7185,2067,False,7410,3470,46.829
2021-11-26 16:48:54.045109,7185,2068,False,7379,3667,49.695
2021-11-26 16:48:54.045109,7185,2069,False,7443,3804,51.108
2021-11-26 16:48:54.045109,7185,2057,False,5761,2939,51.015
2021-11-26 16:48:54.045109,7185,2058,False,5759,2897,50.304
2021-11-26 16:48:54.045109,7185,2059,False,5724,3052,53.319
2021-11-26 16:48:54.045109,7185,2072,False,6116,2824,46.174
2021-11-26 16:48:54.045109,7185,2070,False,7091,3844,54.21
2021-11-26 16:48:54.045109,7185,2061,False,4711,2815,59.754
2021-11-26 16:48:54.045109,7704,676,False,726,438,60.331
2021-11-26 16:48:54.045109,7729,2808,False,1321,647,48.978
2021-11-26 16:48:54.045109,7700,826,False,1847,961,52.03
2021-11-26 16:48:54.045109,7214,2391,False,5392,2599,48.201
2021-11-26 16:48:54.045109,7214,2392,False,3647,1829,50.151
2021-11-26 16:48:54.045109,7214,2393,False,5731,3173,55.366
2021-11-26 16:48:54.045109,7214,2394,False,5731,3240,56.535
2021-11-26 16:48:54.045109,7214,2395,False,5778,3144,54.413
2021-11-26 16:48:54.045109,7214,2396,False,5548,2823,50.883
2021-11-26 16:48:54.045109,7214,2397,False,5508,2775,50.381
2021-11-26 16:48:54.045109,7214,2398,False,5071,2733,53.895
2021-11-26 16:48:54.045109,7214,2402,False,3410,1747,51.232
2021-11-26 16:48:54.045109,7214,2401,False,5015,2636,52.562
2021-11-26 16:48:54.045109,7214,2399,False,5407,2672,49.417
2021-11-26 16:48:54.045109,7214,2400,False,5174,2998,57.944
2021-11-26 16:48:54.045109,7322,2778,False,4173,1747,41.864
2021-11-26 16:48:54.045109,7322,2779,False,6431,2580,40.118
2021-11-26 16:48:54.045109,7322,2780,False,7830,3461,44.202
2021-11-26 16:48:54.045109,7315,2766,False,5165,1905,36.883
2021-11-26 16:48:54.045109,7074,266,False,6826,3057,44.785
