ts,circelec,idservel,mex,tM,iM,pM,cM
2021-12-05 05:30:33.692920,7025,107,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,108,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,109,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7025,110,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,111,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,112,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,113,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7025,114,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,115,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,116,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,125,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7025,117,False,24,24,0,100.0
2021-12-05 05:30:33.692920,7025,118,False,21,21,0,100.0
2021-12-05 05:30:33.692920,7025,119,False,21,21,0,100.0
2021-12-05 05:30:33.692920,7025,120,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7025,121,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,122,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7025,123,False,21,21,0,100.0
2021-12-05 05:30:33.692920,7360,1008,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7761,1473,False,2,2,0,100.0
2021-12-05 05:30:33.692920,7202,2257,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7202,2232,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7202,2233,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7202,2234,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7202,2235,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2236,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2237,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2253,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2238,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7202,2256,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7202,2239,False,17,17,0,100.0
